paper_id,title,doi,full_text_status,full_text_source,full_text_url,full_text_license,full_text_text_path,full_text_chars,full_text_error,full_text_manual_lookup_url
https://openalex.org/W4220862305,Machine-Learning-Based Disease Diagnosis: A Comprehensive Review,10.3390/healthcare10030541,landing_pdf_text_extracted,unpaywall,https://pdfs.semanticscholar.org/9da0/35f1d7372cfe52167ff301bc12d5f415caf1.pdf,cc-by,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_3390_healthcare10030541_697b63c87e3bf7f8.txt,23866,,
https://openalex.org/W2664267452,"Artificial intelligence in healthcare: past, present and future",10.1136/svn-2017-000101,landing_pdf_text_extracted,unpaywall,https://www.fda.gov/media/85183/download,cc-by-nc,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1136_svn_2017_000101_2017ecd023051f6c.txt,31180,,
https://openalex.org/W4386958277,Revolutionizing healthcare: the role of artificial intelligence in clinical practice,10.1186/s12909-023-04698-z,pdf_text_extracted,provider_metadata,https://link.springer.com/content/pdf/10.1186/s12909-023-04698-z.pdf?error=cookies_not_supported&code=7f55af05-67ce-463d-8b90-1647209b57b1,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1186_s12909_023_04698_z_c748fb0a70e9f39d.txt,85897,,
https://openalex.org/W2137777161,The cholinergic hypothesis of Alzheimer's disease: a review of progress,10.1136/jnnp.66.2.137,html_text_extracted,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC1736202/,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1136_jnnp_66_2_137_fef117000e080366.txt,31089,,
https://openalex.org/W3112948680,Comprehensive Review on Alzheimer’s Disease: Causes and Treatment,10.3390/molecules25245789,html_text_extracted,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC7764106/,cc-by,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_3390_molecules25245789_c05055368af261e0.txt,109768,,
https://openalex.org/W3112948680,Comprehensive Review on Alzheimer’s Disease: Causes and Treatment,10.3390/molecules25245789,html_text_extracted,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC7764106/,cc-by,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_3390_molecules25245789_c05055368af261e0.txt,109768,,
https://openalex.org/W2309442902,"Preclinical Alzheimer's disease: Definition, natural history, and diagnostic criteria",10.1016/j.jalz.2016.02.002,html_text_extracted,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC6417794/,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1016_j_jalz_2016_02_002_ac2a87583cf1dc17.txt,201245,,
https://openalex.org/W2309442902,"Preclinical Alzheimer's disease: Definition, natural history, and diagnostic criteria",10.1016/j.jalz.2016.02.002,html_text_extracted,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC6417794/,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1016_j_jalz_2016_02_002_ac2a87583cf1dc17.txt,201245,,
https://openalex.org/W2122386753,Nitric Oxide and Peroxynitrite in Health and Disease,10.1152/physrev.00029.2006,pdf_text_extracted,provider_metadata,https://api.unil.ch/iris/server/api/core/bitstreams/0476c2a0-7bb1-4871-91c7-16bddf2d8fc8/content,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1152_physrev_00029_2006_e85f2134d4528fbd.txt,721082,,
https://openalex.org/W2610332124,"Deep learning for healthcare: review, opportunities and challenges",10.1093/bib/bbx044,pdf_text_extracted,europe_pmc,https://europepmc.org/api/getPdf?pmcid=PMC6455466,,/Users/mariehensche/.cache/ad_lit_pipeline/full_text/texts/10_1093_bib_bbx044_131dd756303eb8f9.txt,68414,,
